Mileage;Price;PowerPs;Owners;HuTest;FirstRegistration;Color;Automatic;CubicCapacity;EmptyWeight
117300;8599;163;3;23;2005;3;1;1.796;1.39
171000;8500;163;4;23;2004;0;1;1.796;0
69000;8250;193;1;22;1999;0;2;2.295;1.325
69000;8250;193;1;22;1999;0;2;2.295;1.325
124073;7979;193;2;23;1998;3;1;2.295;0
160000;7950;163;2;22;2005;3;1;1.796;0
115127;7950;163;1;22;2004;3;2;1.796;1.39
71000;7900;136;1;22;1997;1;1;1.998;0
141000;7900;163;0;0;2002;0;1;1.998;0
123000;7900;163;2;22;2005;0;2;1.796;1.39
190000;7900;163;1;21;2006;0;2;1.796;1.39
86200;7600;163;0;22;2002;0;2;1.998;1.365
87800;7599;163;0;0;2002;0;1;1.998;1.365
87800;7599;163;0;0;2002;0;1;1.998;1.365
147000;7480;163;0;0;2001;3;1;1.998;0
147000;7480;163;0;0;2001;3;1;1.998;0
147000;7480;163;0;0;2001;3;1;1.998;0
163000;7300;163;1;0;2004;0;2;1.796;1.39
94300;7300;197;1;0;2003;0;2;2.295;1.385
163000;7300;163;1;0;2004;0;2;1.796;1.39
138000;7000;163;2;0;2006;3;2;1.796;1.39
162000;7000;163;3;0;2005;3;2;1.796;1.39
137600;5990;163;3;22;2001;0;2;1.998;1.365
149000;5990;163;0;0;2001;0;2;1.998;0
108000;5990;193;1;22;1999;0;2;2.295;0
108000;5990;193;2;23;1998;0;2;2.295;0
76633;5990;136;3;0;2000;0;2;1.998;0
137600;5990;163;3;22;2001;0;2;1.998;1.365
149000;5990;163;0;0;2001;0;2;1.998;0
108000;5990;193;1;22;1999;0;2;2.295;0
189500;4950;136;3;0;1998;3;2;1.998;0
118000;4950;193;3;0;1998;4;2;2.295;0
189500;4950;136;3;0;1998;3;2;1.998;0
118000;4950;193;3;0;1998;4;2;2.295;0
141500;4950;136;0;22;2000;4;2;1.998;1.27
189500;4950;136;3;0;1998;3;2;1.998;0
162000;4000;197;0;22;2000;3;2;2.295;1.385
154000;4000;136;2;0;1998;4;2;1.998;1.27
162000;4000;197;0;22;2000;3;2;2.295;1.385
154000;4000;136;2;0;1998;4;2;1.998;1.27
162000;4000;197;0;22;2000;3;2;2.295;1.385
100000;2990;193;0;0;1999;0;2;2.295;1.325
204000;2990;197;0;0;2000;3;2;2.295;0
184500;2990;163;0;22;2001;3;2;1.998;1.365
204000;2990;197;0;0;2000;3;2;2.295;0
290000;2500;163;3;0;2001;4;2;1.998;1.365
246000;2500;193;0;0;1998;4;2;2.295;1.325
290000;2500;163;3;0;2001;4;2;1.998;1.365
221200;2500;193;0;0;1999;1;2;2.295;1.325
204000;2500;136;2;0;1998;0;2;1.998;1.27
290000;2500;163;3;0;2001;4;2;1.998;1.365
204000;2500;136;2;0;1998;0;2;1.998;1.27
290000;2500;163;3;0;2001;4;2;1.998;1.365
246000;2500;193;0;0;1998;4;2;2.295;1.325
204000;2500;136;2;0;1998;0;2;1.998;1.27
290000;2500;163;3;0;2001;4;2;1.998;1.365
207472;1450;163;7;21;2000;5;2;1.998;1.365
207472;1450;163;7;21;2000;5;2;1.998;1.365
167964;1399;193;4;19;1998;6;2;2.295;1.325